인접산,weight
태복산,0.003078276
제암산,0.004393376
삼태산,0.000781305
억불산,0.00506928
봉애산,0.002870564
강천산,0.016701461
고남산,0.004697286
광려산,0.000329815
엄광산,0.018477458
구사산,0.013333333
서화산,0.006015258
수정산,0.000146714
봉복산,0.001633639
마골산,0.000337952
두두리동산,0.028333333
호등산,0.00168976
부락산,0.001467136
단월산,0.007531152
건달산,0.00109544
박달산,0.001733102
호천산,0.000369549
순금산,0.000146714
봉두암산,0.000586854
팔성산,0.00013693
성불산,0.002591633
수암산,0.001351808
방축안산,0.012032086
제석산,0.002703616
큰암산,0.00493479
응복산,0.00575325
법화산,0.000769569
왕방산,0.001988778
매곡산,0.010574551
오미산,0.001173709
영추산,0.0014292
고배기 동산,0.013333333
병풍산,0.000293427
소머리산,0.000146714
벚꽃동산,0.007018717
제비산,0.003080986
마차산,0.00178009
백족산,0.004442799
여수곡산,0.00191702
선바우산,0.001065417
구덕산,0.024390244
노산,0.000710278
함박산,0.000989446
환성산,0.043087971
석벽산,0.000293427
용화산,0.000219877
가엽산,0.000370233
용강산,0.003812825
양을산,0.007772896
수동산,0.001868953
묵봉산,0.000740466
문암산,0.000879507
내왕산,0.00070497
화지산,0.000219877
민등산,0.003374413
거류산,0.001978892
범바위산,0.000109938
배각산,0.000675904
장작울동산,0.011666667
멍애산,0.000733568
수양산,0.001666667
학산,0.002870564
검은산,0.000337952
바로건너산,0.001258725
설봉산,0.007531152
갈기산,0.004506066
약수산,0.0038355
호초당산,0.000880282
시루봉산,0.001026995
시루산,0.002027712
큰산,0.000109938
복두산,0.001320423
백학산,0.002053991
왕산,0.000879507
호룡곡산,0.010026738
노상산,0.001099384
신월산,0.002308707
선달산,0.002494131
적석산,0.001539138
아훼동산,0.002858399
대학산,0.002272889
방태산,0.004900916
임호산,0.003188215
산장산,0.011867905
지족산,0.008255934
청태산,0.001633639
왕구리뒷산,0.00082158
사향산,0.000142056
진달래동산,0.02105615
천지산,0.003374413
앵봉산,0.000972651
바위산,0.001013856
수색산,0.001258725
만뢰산,0.005545927
망우리산,0.000497194
탑산,0.006602113
절개산,0.000142056
무듬산,0.000219877
안자산,0.0011107
