"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
8910,"패밀리마트",37.60950536,127.0074065,"대한민국 서울특별시 성북구 정릉3동 솔샘로6길",5464.83,2225.34643,1695,500,0,0,0,8,8910,215,1585,1800,0
8911,"용문고교",37.58802684,127.0229255,"대한민국 서울특별시 성북구 안암동 인촌로13길",6169.97,3559.00316,497,528,0,1,1,5,8911,3379,5245,8624,0
8912,"개운초등학교",37.60120225,127.0284325,"대한민국 서울특별시 성북구 종암동 종암로27길",6925.47,1932.86676,553,5204,0,0,0,9,8912,1099,2379,3478,1
8913,"우성APT정문",37.60051902,127.0147909,"대한민국 서울특별시 성북구 아리랑로",7243.54,1888.84373,573,4134,0,0,0,9,8913,814,1743,2557,0
8914,"나약국",37.61429479,127.0414528,"대한민국 서울특별시 성북구 장위동 장위로",6089.26,1226.03894,2405,293,0,0,1,3,8914,1483,9384,10867,0
8915,"소망슈퍼",37.61105374,127.0481667,"대한민국 서울특별시 성북구 장월로",6199.33,2310.9807,1487,236,0,0,0,7,8915,4136,1648,5784,0
8916,"월곡로데오거리",37.60489939,127.0438729,"대한민국 서울특별시 성북구 월곡2동 장월로1길",4593.14,3109.85413,211,1939,1,0,0,8,8916,797,2440,3237,1
8917,"대동슈퍼",37.61117786,127.0058855,"대한민국 서울특별시 성북구 정릉3동 솔샘로16길",4814.23,1975.87487,1235,441,0,0,0,4,8917,154,2392,2546,0
8919,"한진206동앞",37.5954941,127.0107233,"대한민국 서울특별시 성북구 성북로4길",5983.42,1044.16217,412,4847,0,0,0,3,8919,61,7199,7260,0
8920,"죽림정사앞",37.5996513,127.0291749,"대한민국 서울특별시 성북구 종암동",5924.51,1898.69932,487,4152,0,0,0,10,8920,2603,3063,5666,0
8921,"쌍용APT",37.60002772,127.0164194,"대한민국 서울특별시 성북구 북악산로",7357.87,1750.14398,381,4582,0,0,0,7,8921,457,3503,3960,0
8922,"슈퍼앞",37.61561817,127.0423212,"대한민국 서울특별시 성북구 장위1동 장위로13길",5430.22,1004.99314,2192,53,0,0,0,3,8922,44,4930,4974,0
8923,"빙그레슈퍼",37.60998707,127.0476291,"대한민국 서울특별시 성북구 장월로",6750.57,1950.6366,1223,1299,0,0,1,7,8923,581,2212,2793,0
8924,"동아아파트정문앞",37.60688703,127.0461343,"대한민국 서울특별시 성북구 월곡2동 장월로1길",5018.68,2500.21236,484,1802,1,0,1,4,8924,2489,8053,10542,1
8925,"수녀원입구",37.61189514,127.005548,"대한민국 서울특별시 성북구 정릉동 솔샘로",4652.34,1535.84037,1168,527,0,0,0,3,8925,58,1090,1148,0
8926,"홈마트",37.58934382,127.020258,"대한민국 서울특별시 성북구 보문로30가길",7351.05,8409.02533,565,584,1,1,0,6,8926,2213,4436,6649,0
8927,"명신초.삼선푸르지오.힐스테이트",37.58225939,127.0145993,"대한민국 서울특별시 성북구 삼선동2가",6603.66,877.53268,437,3708,1,2,1,2,8927,228,15211,15439,1
8928,"브라운스톤",37.59929765,127.0176786,"대한민국 서울특별시 성북구 북악산로",7378.18,2004.58448,715,3841,0,1,1,9,8928,2697,9363,12060,0
8930,"동아아파트",37.60803185,127.0472756,"대한민국 서울특별시 성북구 장월로",6509.64,2317.34813,740,1802,0,0,1,6,8930,49,7041,7090,1
8931,"월곡중학교입구",37.60759128,127.0471292,"대한민국 서울특별시 성북구 장월로",6164.27,2408.55197,701,1802,0,0,1,5,8931,3778,4377,8155,1
8932,"우남아파트",37.60543425,127.046182,"대한민국 서울특별시 성북구 화랑로",4748.96,2520.93799,252,1806,1,0,1,6,8932,2155,494,2649,1
8934,"돈암시장",37.59130195,127.0134834,"대한민국 서울특별시 성북구 동소문로",5591.6,9441.27882,967,1902,0,0,0,17,8934,3630,4005,7635,4
8935,"창신쌍용2단지.한성대후문",37.58139636,127.0127355,"대한민국 서울특별시 종로구 낙산길",6234.83,1767.53515,157,3757,1,2,1,1,8935,497,44041,44538,1
8936,"고명중고교",37.59846102,127.0202967,"대한민국 서울특별시 성북구 동소문로",7748.99,1665.07714,712,4599,0,1,1,8,8936,969,1546,2515,0
